"input";"filtered";"denoisedF";"denoisedR";"merged";"nonchim"
"CTC1";729404;600821;599853;598646;593157;579834
"CTC10";140947;103577;103417;102534;100360;99007
"CTC11";1020425;770140;768174;762983;724595;707197
"CTC12";139405;98262;98173;96423;93887;93577
"CTC13";760540;590973;589859;588013;558669;535121
"CTC14";75307;54126;53978;52623;50786;50536
"CTC15";760052;585145;584599;581991;556173;543214
"CTC16";2375;953;894;714;591;591
"CTC2";995573;755140;754475;747565;739129;689640
"CTC3";1288371;1002593;1001659;996141;897830;834017
"CTC4";73780;57319;57159;56780;56022;55246
"CTC5";937903;711501;711121;705361;704515;661462
"CTC6";1284466;1023865;1019379;1016443;931637;909648
"CTC7";78173;57333;57313;57038;55137;54939
"CTC8";4095;1600;1576;1292;1181;1181
"CTC9";146311;110548;110392;109771;108913;108597
"S114";82;44;44;42;42;42
"S115";1390;1053;1047;903;873;873
"S116";1325;1031;1024;1006;795;795
"S117";398;238;218;150;150;150
"S118";713;388;380;290;290;290
"S119";305;154;152;145;144;144
"S120";752;349;344;306;306;194
"S121";190250;156130;156073;155586;155119;155051
"S122";73858;60696;60662;60495;60479;60479
"S123";180190;150970;150923;150553;150390;150329
"S124";240652;199843;199781;198934;193669;193669
"S125";595;168;142;107;107;107
"S126";223463;176094;175989;174162;174064;174064
"S127";193144;159932;159869;159448;159329;159325
"S128";112954;92298;92263;92038;92019;92019
"S129";643;365;356;259;203;203
"S130";1281;769;761;720;719;694
"S131";817;458;449;321;320;320
"S132";202368;156103;156031;155409;155082;150182
"S133";1745;526;513;413;413;413
"S134";1682;405;383;248;247;247
"S135";970;666;651;553;536;536
"S136";218083;178889;178843;177736;177696;177688
"S137";1184;498;450;272;252;252
"S138";286;151;142;130;130;130
"S139";3760;2987;2983;2877;2875;2875
"S140";2874;2105;2092;1999;1987;1987
"S141";937;634;620;549;494;494
"S142";139901;106646;106574;106167;106143;102885
"S143";5127;3455;3435;3045;2499;2499
"S144";91218;77004;76966;76638;76585;76534
"S145";110687;83028;82980;82059;76579;76560
"S146";176553;146842;146763;146392;146330;146326
"S147";219683;184752;184667;184181;184129;184126
"S148";182782;151730;151659;150982;150948;150945
"S149";1223;672;645;420;278;278
"S150";129001;105817;105784;105481;105454;105454
"S151";192501;160720;160675;160218;160186;160182
"S152";119917;98843;98807;98454;98432;98426
"S153";176017;145133;145089;144477;144447;144441
"S154";131754;108694;108643;107886;103350;103346
"S155";138129;98225;98101;96910;96880;94591
"S156";128446;107735;107707;107197;106785;106785
"S157";5688;1490;1331;1047;1030;1030
"S158";83064;61876;61703;61348;58404;58393
"S159";4637;3654;3618;3481;3474;3474
"S160";1112065;917642;916194;912410;873862;873478
"S161";1870;798;781;538;536;536
"S162";191770;156589;156524;155902;155834;155830
"S163";176154;143660;143592;142829;142748;142747
"S164";167479;133380;133273;132601;132460;132455
"S165";163278;131161;131061;130510;130127;130127
"S166";168279;138217;138169;137219;132061;132027
"S167";203443;159617;159546;158140;152865;152865
"S168";189;150;149;148;148;148
"S169";166344;135137;135069;134340;130122;130122
"S170";115612;93377;93191;92715;92486;92486
"S171";71;47;47;42;42;42
"S172";712;421;387;156;156;156
"S173";731;476;425;223;222;222
"S174";985;616;571;188;130;130
"S175";609;277;271;212;162;162
"S176";973;466;460;419;419;419
"Undetermined";3402474;803108;799601;738527;666844;642788
